                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5315,                 3.5487,                 1.7291,                0.16922,                0.25521,                 0.1771,                 0.1136,                 1.7704,                 5.4253,                 2.0886,             0.00029458,             0.00029458,             0.00029458
                      2,                 1.5582,                 2.9324,                  1.754,                0.07356,                 0.2046,                0.06353,                0.02045,                 2.2132,                 14.673,                 2.6123,             0.00058575,             0.00058575,             0.00058575
                      3,                 1.6356,                 2.7887,                 1.7825,                0.19045,                0.05365,                0.02216,                0.01071,                 2.7736,                 16.015,                 3.0945,             0.00086492,             0.00086492,             0.00086492
                      4,                 1.7368,                 2.8349,                 1.8928,                0.26035,                0.12751,                0.10329,                0.05556,                 2.3855,                 15.047,                 2.8399,             0.00085501,             0.00085501,             0.00085501
                      5,                 1.7124,                 2.7475,                 1.9119,                0.11902,                0.16799,                0.06889,                0.02265,                 2.7147,                 8.0912,                 3.0505,             0.00083701,             0.00083701,             0.00083701
                      6,                 1.6445,                 2.6483,                 1.8441,                0.30793,                0.18103,                0.15273,                0.06975,                  2.246,                 4.5779,                 2.4739,             0.00081901,             0.00081901,             0.00081901
                      7,                 1.6151,                  2.569,                  1.813,                0.10822,                0.18654,                0.08535,                0.04206,                 2.2483,                 4.1882,                 2.3837,             0.00080101,             0.00080101,             0.00080101
                      8,                 1.5776,                 2.4685,                 1.7792,                0.19572,                0.21365,                0.15535,                0.07221,                 2.0175,                 3.8375,                 2.2362,             0.00078301,             0.00078301,             0.00078301
                      9,                  1.547,                 2.4464,                 1.7402,                0.12597,                0.18404,                0.11663,                0.05587,                 2.0947,                  4.082,                 2.3302,             0.00076501,             0.00076501,             0.00076501
                     10,                 1.5104,                 2.4414,                 1.7241,                0.60997,                0.18266,                0.17445,                0.09907,                 1.8656,                 3.3472,                  2.195,             0.00074702,             0.00074702,             0.00074702
                     11,                 1.4699,                 2.3721,                 1.6989,                0.58366,                 0.2467,                0.21623,                0.11892,                 2.0394,                   2.89,                 2.3503,             0.00072902,             0.00072902,             0.00072902
                     12,                 1.4509,                 2.2507,                 1.6754,                0.43352,                 0.2474,                 0.2678,                0.16197,                 1.8451,                 2.8828,                 2.0466,             0.00071102,             0.00071102,             0.00071102
                     13,                 1.4381,                 2.1531,                 1.6326,                0.34705,                0.30673,                0.27014,                0.16026,                 1.7791,                 2.7668,                 1.9223,             0.00069302,             0.00069302,             0.00069302
                     14,                 1.4204,                 2.1658,                 1.6401,                0.42548,                0.32169,                0.30545,                 0.1718,                 1.7214,                 2.8077,                 1.9419,             0.00067502,             0.00067502,             0.00067502
                     15,                 1.4215,                 2.1149,                 1.6188,                0.24995,                0.31057,                 0.2607,                0.15285,                 1.6944,                 2.9902,                 1.9628,             0.00065703,             0.00065703,             0.00065703
                     16,                 1.4277,                 2.1007,                 1.6439,                0.34082,                0.35088,                0.29434,                0.15504,                 1.8181,                 2.6404,                 2.0066,             0.00063903,             0.00063903,             0.00063903
                     17,                 1.3645,                  2.044,                 1.5952,                0.30394,                0.25841,                0.22401,                0.12796,                 1.9022,                 3.3681,                  2.221,             0.00062103,             0.00062103,             0.00062103
                     18,                 1.3208,                 2.0021,                 1.5643,                0.30717,                0.32803,                0.21644,                0.12015,                 1.9108,                 3.0335,                 2.3044,             0.00060303,             0.00060303,             0.00060303
                     19,                 1.3031,                 1.9119,                 1.5492,                0.38545,                0.32615,                0.30867,                0.16691,                 1.7517,                 2.5989,                 1.9859,             0.00058503,             0.00058503,             0.00058503
                     20,                 1.3169,                 1.9334,                 1.5855,                 0.3312,                0.35928,                0.28852,                0.17012,                 1.8615,                 2.7328,                 2.1528,             0.00056703,             0.00056703,             0.00056703
                     21,                 1.2599,                 1.8099,                 1.5197,                0.34291,                0.38737,                0.33567,                0.20279,                 1.6471,                 2.5289,                  1.908,             0.00054904,             0.00054904,             0.00054904
                     22,                 1.2125,                 1.7965,                 1.4688,                0.32511,                 0.3663,                0.30198,                0.17903,                 1.7491,                 2.6307,                  1.979,             0.00053104,             0.00053104,             0.00053104
                     23,                 1.2261,                 1.7651,                 1.4862,                0.34061,                0.35647,                0.31157,                0.15357,                 1.8067,                 2.6627,                 2.0484,             0.00051304,             0.00051304,             0.00051304
                     24,                 1.2276,                 1.8184,                 1.5059,                 0.3694,                0.38533,                0.34318,                0.20915,                 1.6999,                  2.475,                 1.9558,             0.00049504,             0.00049504,             0.00049504
                     25,                  1.177,                 1.6664,                  1.473,                0.36241,                0.38414,                 0.3443,                0.21618,                  1.573,                 2.4302,                 1.8367,             0.00047704,             0.00047704,             0.00047704
                     26,                 1.1116,                 1.6011,                 1.4097,                0.41418,                0.35723,                0.34731,                0.23875,                 1.6015,                 2.4705,                 1.9162,             0.00045904,             0.00045904,             0.00045904
                     27,                 1.1288,                 1.5523,                   1.43,                0.39905,                0.37139,                0.35086,                0.22833,                 1.6533,                  2.476,                 1.9465,             0.00044105,             0.00044105,             0.00044105
                     28,                 1.1049,                 1.5148,                 1.4137,                0.45478,                0.37141,                0.35607,                0.23623,                 1.5166,                 2.2523,                 1.8159,             0.00042305,             0.00042305,             0.00042305
                     29,                 1.0719,                 1.4486,                 1.3813,                 0.4353,                 0.3426,                0.35479,                0.20485,                 1.6336,                 2.4654,                  1.892,             0.00040505,             0.00040505,             0.00040505
                     30,                  1.089,                 1.4893,                 1.3801,                0.52194,                0.31982,                0.36686,                0.23039,                 1.6353,                 2.3909,                 1.8914,             0.00038705,             0.00038705,             0.00038705
                     31,                 1.0479,                 1.3661,                 1.3603,                0.41833,                0.39031,                0.38438,                0.23531,                 1.6342,                 2.3652,                 1.8912,             0.00036905,             0.00036905,             0.00036905
                     32,                 1.0334,                 1.4046,                 1.3573,                0.48625,                0.38322,                0.36173,                0.23914,                 1.6496,                 2.3576,                 1.9692,             0.00035106,             0.00035106,             0.00035106
                     33,                 1.0017,                 1.3022,                 1.3282,                0.40917,                0.41539,                0.39156,                0.25327,                 1.6565,                 2.2833,                 1.9153,             0.00033306,             0.00033306,             0.00033306
                     34,                0.98823,                 1.2579,                 1.2938,                0.56591,                0.32743,                0.38992,                0.26292,                 1.5009,                 2.2079,                 1.7986,             0.00031506,             0.00031506,             0.00031506
                     35,                0.97424,                 1.2552,                 1.3121,                0.48092,                0.36578,                0.38481,                0.24654,                 1.5412,                 2.2201,                 1.7968,             0.00029706,             0.00029706,             0.00029706
                     36,                 0.9423,                 1.2371,                 1.2922,                0.44898,                0.40817,                0.39801,                0.25175,                 1.5509,                 2.1891,                 1.8306,             0.00027906,             0.00027906,             0.00027906
                     37,                0.90959,                 1.1185,                 1.2488,                0.58812,                0.38566,                0.44055,                0.25847,                  1.514,                 2.1521,                 1.7884,             0.00026106,             0.00026106,             0.00026106
                     38,                0.90002,                 1.1317,                 1.2488,                0.46821,                 0.4261,                0.41749,                0.26317,                 1.5639,                 2.2505,                 1.8754,             0.00024307,             0.00024307,             0.00024307
                     39,                0.89782,                 1.1475,                 1.2482,                0.43999,                0.40384,                0.39959,                0.26242,                 1.5634,                  2.295,                 1.8583,             0.00022507,             0.00022507,             0.00022507
                     40,                0.87254,                 1.0941,                 1.2407,                0.46996,                0.40868,                0.39971,                0.26377,                  1.534,                 2.3637,                 1.8141,             0.00020707,             0.00020707,             0.00020707
                     41,                0.90003,                 1.1217,                 1.2717,                0.43531,                0.39014,                0.39442,                0.27056,                 1.5079,                 2.3001,                 1.8403,             0.00018907,             0.00018907,             0.00018907
                     42,                0.83452,                0.99618,                 1.2146,                 0.3988,                0.45205,                  0.382,                0.25558,                 1.5478,                 2.3599,                 1.9225,             0.00017107,             0.00017107,             0.00017107
                     43,                0.80131,                0.91664,                 1.1896,                0.48052,                0.40358,                0.39861,                 0.2669,                 1.4953,                 2.2826,                 1.8136,             0.00015308,             0.00015308,             0.00015308
                     44,                0.76737,                0.90168,                 1.1822,                0.45817,                0.44041,                0.41216,                0.27945,                 1.5772,                 2.3314,                 1.9246,             0.00013508,             0.00013508,             0.00013508
                     45,                0.76225,                0.84507,                 1.1483,                0.60676,                0.36294,                0.42655,                0.27988,                 1.5686,                 2.2621,                 1.9142,             0.00011708,             0.00011708,             0.00011708
                     46,                0.71327,                0.77877,                 1.1232,                0.62355,                0.38412,                0.42965,                0.29532,                 1.5066,                 2.2145,                 1.9078,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     47,                0.71744,                0.79071,                 1.1306,                0.46997,                0.44606,                0.42435,                0.28872,                  1.542,                 2.2606,                 1.9291,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     48,                0.72828,                0.73771,                 1.1386,                0.45688,                0.43292,                0.41506,                0.27961,                  1.541,                 2.2685,                  1.925,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     49,                0.69867,                0.72659,                 1.1084,                0.44468,                0.43908,                0.41904,                0.28713,                 1.5545,                 2.2513,                 1.9337,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     50,                0.66435,                  0.669,                 1.0845,                0.52373,                0.41977,                0.43404,                0.29287,                 1.5357,                 2.2816,                 1.9034,             2.7088e-05,             2.7088e-05,             2.7088e-05
